"target","key","acousticness","danceability","duration_ms","instrumentalness","loudness","speechiness","valence",".fitted",".resid",".std.resid",".hat",".sigma",".cooksd"
"1","D",0.0102,0.833,204600,0.0219,-8.795,0.431,0.286,0.901592379091783,0.455176381068173,0.456774507355719,0.00698519975756914,1.11746555449438,7.7318939350445e-05
"1","Other",0.199,0.743,326933,0.00611,-10.401,0.0794,0.588,0.637978819528725,0.948103574952927,0.949311959304449,0.00254419057967665,1.11731106952222,0.00014510755734872
"1","D",0.0344,0.838,185707,0.000234,-7.148,0.289,0.173,0.782966737189445,0.699521357977327,0.702862869557354,0.00948568692448444,1.11740189977893,0.000267997203811706
"1","Other",0.604,0.494,199413,0.51,-15.236,0.0261,0.23,0.422397212436774,1.31286644100352,1.31631869890469,0.00523844393111992,1.1171255608652,0.000723889956126637
"1","Other",0.18,0.678,392893,0.512,-11.648,0.0694,0.904,0.848946234242689,0.572292622724019,0.573388865096226,0.00382007571093309,1.11743875859941,6.84932494190133e-05
"1","Other",0.00479,0.804,251333,0,-6.682,0.185,0.264,0.643662006552383,0.938702855218444,0.940366634984048,0.00353544639006521,1.11731484045053,0.000197117327547133
"1","Other",0.0145,0.739,241400,7.27e-06,-11.204,0.156,0.308,0.679755094612002,0.878661141357369,0.880487203329951,0.00414354328021202,1.11733916313674,0.000196837640641751
"1","Other",0.0202,0.266,349667,0.664,-11.609,0.0371,0.393,0.694602711050879,0.853715685273259,0.856776844095922,0.00713298981123382,1.11734835188248,0.00031813990398074
"1","Other",0.0481,0.603,202853,0,-3.626,0.347,0.398,0.63511076692576,0.95284401577393,0.955709498912405,0.00598756710829839,1.11730835071535,0.000348159567635177
"1","Other",0.00208,0.836,226840,0,-7.792,0.237,0.386,0.729470305312414,0.79427528903085,0.795729694602854,0.00365218598039029,1.11737085562169,0.000136438917514587
"1","Other",0.0572,0.525,358187,0.0143,-7.372,0.0548,0.524,0.532786175934774,1.12217209567956,1.12397637578962,0.00320795343194066,1.11723028190167,0.000283127245402018
"1","Other",0.0915,0.753,324880,0.00348,-8.62,0.0494,0.642,0.629212222327136,0.962586809384499,0.963783080566889,0.002480908382685,1.11730489355613,0.000146925288962346
"1","Other",0.253,0.603,356973,0.0619,-11.062,0.0342,0.381,0.524876178325102,1.13542317663241,1.13720496917589,0.00313117990151199,1.11722360850815,0.000285221289326077
"1","Other",0.366,0.762,243270,0,-12.686,0.114,0.367,0.551949107531997,1.09022881401604,1.0922522602517,0.00370165766065893,1.11724596736723,0.00030272322914174
"1","Other",0.44,0.662,247288,0,-8.317,0.0793,0.351,0.353590477350446,1.4419541457004,1.44335813931838,0.00194450805854261,1.11704733523094,0.000356867957385647
"1","Other",0.019,0.637,188333,0.0563,-6.637,0.163,0.317,0.535773642807572,1.11717815526744,1.11839070545391,0.00216720840398694,1.11723307623264,0.000188596479652698
"1","Other",0.0239,0.603,270827,0.0451,-4.111,0.0458,0.773,0.502433458205305,1.17327922448101,1.17461008665215,0.00226476553612478,1.11720431608265,0.00022530210304622
"1","Other",0.233,0.789,447907,0.00049,-12.654,0.0429,0.842,0.767593220418607,0.727317464478379,0.729729161973535,0.00659892021681243,1.11739331435772,0.000202460956692887
"1","Other",0.314,0.713,195429,0,-6.702,0.241,0.783,0.608200233446619,0.997247331314505,0.998954517957528,0.00341502609804052,1.11728949348498,0.000221504701054771
"1","Other",0.0242,0.735,214347,0.185,-6.914,0.0449,0.763,0.619882183843802,0.977983481515534,0.978964171475331,0.00200252221472939,1.11729831413117,0.000123289907366161
"1","Other",0.000702,0.854,249253,0.308,-9.335,0.0655,0.471,0.737083880014137,0.781093567372553,0.782287482202248,0.00305003924985495,1.11737558738809,0.000109460898365703
"1","Other",0.00024,0.747,307680,0.369,-4.134,0.0323,0.77,0.686933522746631,0.866623050700504,0.868019693575284,0.00321540925066506,1.1173440260909,0.000147487590744169
"1","Other",0.118,0.854,287086,0,-8.553,0.395,0.441,0.851760091388421,0.566481022951632,0.567948636049252,0.00516144173879741,1.11744014358848,9.07640071840034e-05
"1","Other",0.000596,0.224,132760,1.35e-06,-1.71,0.0834,0.364,0.190048009693073,1.82234933870836,1.82623103497313,0.00424652836684842,1.11676797175974,0.001825266664828
"1","Other",0.279,0.512,203400,1.54e-05,-5.892,0.0316,0.401,0.257194422268454,1.64798238656417,1.6491881649887,0.00146173451519009,1.11690529216063,0.000423401787807848
"1","Other",0.00219,0.781,205160,0.269,-6.758,0.036,0.795,0.661731466212638,0.908730373104733,0.909955914773461,0.00269181475783916,1.11732739309464,0.000138345875947359
"1","Other",0.341,0.411,199500,1.42e-06,-6.889,0.383,0.598,0.58262037449534,1.03944164184202,1.04477112976323,0.0101761900367997,1.11726860422836,0.000744072052760989
"1","Other",0.018,0.646,188333,0.0403,-6.615,0.134,0.32,0.505376572636763,1.16829057961159,1.16944658216157,0.00197603073293451,1.11720701642366,0.000194165170290273
"1","Other",0.0516,0.782,228562,0,-7.467,0.0385,0.237,0.465908364375505,1.23593390370543,1.23828967283383,0.00380125640691469,1.1171700351486,0.000439086874489018
"1","Other",0.282,0.735,186096,0.125,-12.766,0.102,0.326,0.559380074745151,1.07789249725941,1.08016016596366,0.00419435640067353,1.11725182784394,0.000333175688359695
"1","D",0.00791,0.45,220934,0,-12.037,0.156,0.137,0.655698398721347,0.918753888488002,0.923735496384584,0.0107567052984381,1.11732175643246,0.00057717559516745
"1","D",0.0219,0.897,285240,1.31e-06,-8.828,0.0534,0.27,0.724480302037228,0.802870731743813,0.806587917569955,0.00919582443865135,1.1173669745662,0.000356238691419082
"1","Other",0.0358,0.959,213000,0,-5.534,0.0713,0.424,0.566408775923553,1.06624503985468,1.068796758405,0.00476923691338664,1.11725727567005,0.000368597022616869
"1","Other",0.0324,0.742,280831,0,-5.876,0.141,0.429,0.604574886144638,1.00322453664905,1.00410048767357,0.00174398669629214,1.11728719398236,0.000114465192582098
"1","Other",0.118,0.805,232880,0,-7.771,0.0458,0.683,0.562019555288079,1.0735163098971,1.07458247333543,0.00198334620113545,1.1172545090949,0.000155176604708091
"1","Other",0.0428,0.667,230693,0,-5.164,0.323,0.372,0.681776397632689,0.875275428200826,0.877334589272154,0.0046886207481493,1.11734039936727,0.000220911127287832
"1","Other",0.297,0.722,175613,0,-3.916,0.081,0.855,0.402153793752334,1.34975604610739,1.35168936530878,0.00285855114237244,1.11710450507427,0.00042739529388504
"1","Other",0.0565,0.853,205879,0,-7.535,0.194,0.677,0.716664285952004,0.816269279663876,0.817287046066003,0.0024890464017328,1.1173630989123,9.88970196469119e-05
"1","Other",0.0128,0.747,213507,0,-5.137,0.126,0.571,0.568081400995585,1.06347596015817,1.06414818822025,0.00126301157020646,1.11725948766684,9.62712022555101e-05
"1","Other",0.135,0.777,237187,5.5e-05,-7.431,0.0327,0.848,0.562109206879687,1.07336771860769,1.07466785988713,0.00241815144487198,1.11725446815342,0.000189291684098716
"1","Other",0.00041,0.731,324541,0.625,-6.08,0.0476,0.622,0.779267846558526,0.706258392335743,0.707449129411834,0.00336345028090634,1.11740045698665,9.59158180727834e-05
"1","Other",0.00356,0.76,186122,0,-8.751,0.164,0.069,0.563873167296617,1.07044470520741,1.07381619397686,0.00626959439172326,1.1172548763678,0.000491058991455179
"1","Other",0.00156,0.624,183000,1.54e-06,-5.33,0.0473,0.318,0.372714821275333,1.40494961189402,1.40637313444362,0.00202336360700143,1.11707085280476,0.000341917673056692
"1","Other",0.00243,0.621,378893,0.00856,-5.619,0.242,0.0891,0.657987242311317,0.914953262663624,0.917898273496948,0.00640656266628221,1.11732415454688,0.00033731253701115
"1","Other",0.533,0.64,234526,0,-4.108,0.455,0.624,0.635762805974264,0.951766496347957,0.958425658355728,0.0138477678467147,1.11730719088594,0.000815794972950366
"1","D",0.00631,0.715,213093,0,-5.379,0.108,0.607,0.669316937870299,0.89609997472641,0.898970655563474,0.00637639805084395,1.11733182600567,0.000319088944598846
"1","D",0.00182,0.7,386160,0.711,-10.714,0.0575,0.947,0.938472332480144,0.356375936239715,0.357073791717294,0.00390492698540959,1.11748365301802,2.58024123792257e-05
"1","Other",0.0923,0.789,175240,0.000408,-13.702,0.0456,0.832,0.67841313838127,0.880907291347168,0.883951432972175,0.00687571697258393,1.11733779959777,0.000330456909335477
"1","Other",0.375,0.796,252547,0.00457,-6.202,0.0653,0.973,0.514477554684168,1.15291226912722,1.15511492319869,0.00381010398136859,1.11721444903602,0.000362322615312009
"1","D#",0.183,0.716,576888,0.058,-4.814,0.0689,0.93,0.630016340066247,0.961259094437931,0.978925798608786,0.0357683665450171,1.1172983308915,0.00225926454900381
"1","D",0.0185,0.74,241341,0.0624,-6.039,0.0808,0.852,0.741928706236223,0.772660499405319,0.775144509047693,0.00639888308396777,1.11737806896377,0.00022545379872203
"1","Other",0.0638,0.7,224480,0.112,-6.227,0.0292,0.745,0.538244464207226,1.11305204513447,1.11399354301744,0.00168959691509639,1.11723526619335,0.000145440196692164
